ID,age,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
128,15,Female,2,4,3,3,3,4,3,4,2,4,4,5,5,3,4,4,5,5,4,3,1,4,4,4,2,4,1,4,5,4,3,3,5,3,3,4,3,2,4,4,2,3,5,2,3,4,2,3,4,3
129,36,Female,1,4,1,4,2,3,1,4,2,4,3,3,4,2,3,3,4,3,4,3,1,4,2,3,2,4,2,3,3,3,1,4,2,4,2,4,3,2,4,4,4,1,4,1,3,2,4,4,4,3
130,16,Female,1,3,1,4,1,1,1,4,2,5,5,2,4,2,4,4,3,5,5,4,4,3,4,2,4,3,4,2,2,2,4,1,5,1,3,1,5,4,4,3,5,1,5,2,5,1,5,5,4,4
131,13,Female,2,3,2,3,3,1,3,2,5,5,3,3,5,1,3,5,3,2,3,3,1,5,3,3,1,4,1,2,3,3,1,3,3,5,1,5,3,4,1,3,3,1,3,1,3,1,4,3,5,5
132,53,Male,3,3,4,2,3,3,3,2,2,2,2,4,4,4,2,2,2,2,2,2,2,3,1,3,2,3,3,4,4,4,4,2,2,2,4,2,2,2,3,4,3,2,3,3,4,2,4,2,4,4
133,19,Female,2,5,3,4,3,5,2,5,2,5,4,4,4,2,2,2,3,3,3,3,1,4,1,4,2,4,2,4,4,3,3,3,4,3,2,3,3,2,1,3,4,2,4,2,4,1,2,4,4,3
134,16,Female,3,2,3,4,4,4,3,4,3,5,3,3,5,4,5,2,5,5,4,3,4,5,3,4,2,2,2,4,2,3,2,2,4,2,2,3,5,3,2,3,5,3,3,4,4,4,4,5,4,3
135,23,Female,4,3,5,2,5,2,5,5,5,5,5,3,5,1,5,5,4,1,4,2,1,5,2,5,1,5,1,5,5,5,5,1,4,1,4,1,5,3,5,5,2,4,3,2,4,1,5,1,5,5
136,18,Female,1,5,1,5,1,5,1,5,1,5,5,1,4,1,3,5,5,5,4,5,1,3,1,5,2,4,2,4,5,3,4,4,3,5,2,3,4,4,4,2,4,1,4,1,3,2,4,3,2,3
137,47,Female,1,5,4,4,3,4,1,1,2,5,4,4,4,3,1,4,2,1,3,1,2,3,1,3,2,5,4,4,4,5,4,1,5,1,4,1,5,1,4,5,4,1,4,1,4,1,4,4,5,4
138,15,Male,4,2,5,1,4,2,5,4,5,4,4,4,5,2,1,2,5,4,5,4,5,3,5,1,5,3,1,4,3,3,3,4,5,3,2,4,4,3,3,4,5,1,5,2,5,1,4,5,4,5
139,18,Female,1,3,2,5,2,1,3,4,2,5,5,1,5,1,4,4,4,4,4,5,1,5,1,5,1,4,1,5,5,4,1,5,5,5,1,5,4,5,5,1,5,1,5,1,1,1,1,4,5,5
140,15,Male,3,4,4,3,4,3,1,2,4,5,1,5,1,5,1,1,1,1,1,1,5,4,2,1,2,1,3,4,1,3,3,4,2,1,4,2,3,2,2,3,2,5,3,2,3,3,3,3,3,3
141,52,Male,1,4,1,5,2,5,2,5,1,5,1,5,1,1,2,1,5,5,1,5,4,2,1,2,4,3,4,3,1,3,4,3,5,2,3,3,3,1,3,5,5,1,5,1,5,1,5,5,5,5
142,18,Female,3,1,5,4,4,1,3,2,3,4,2,4,4,4,2,2,2,1,3,1,1,5,1,5,2,5,1,5,5,4,5,4,5,2,3,5,3,2,3,3,4,1,5,1,5,1,5,4,4,5
143,16,Female,3,2,2,3,3,1,2,3,3,3,4,3,4,4,4,2,3,3,4,2,2,5,1,4,2,3,1,3,5,3,4,3,5,2,4,2,4,2,4,5,5,2,5,1,5,1,5,5,5,4
144,51,Male,4,2,5,1,4,1,3,2,5,3,1,5,1,5,1,1,1,1,1,1,2,5,1,4,1,3,1,4,4,5,4,1,4,1,4,1,5,1,3,5,4,3,4,3,4,1,4,3,2,4
145,48,Female,3,1,5,1,5,1,5,3,5,1,3,3,5,5,1,3,1,1,5,1,1,5,1,5,1,5,1,5,5,5,3,1,3,1,5,1,5,1,3,3,5,1,5,1,5,1,5,1,3,5
146,22,Female,4,1,5,5,5,1,5,5,4,5,4,1,4,1,1,3,4,4,3,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,1,1,5,1,5,1,3,4
147,26,Male,3,2,5,3,4,2,2,3,3,3,1,5,2,5,1,2,1,1,1,1,4,4,1,3,2,4,2,3,3,3,5,2,5,1,5,2,5,1,5,5,5,1,4,1,5,1,5,5,5,5
148,26,Female,3,2,5,2,5,1,5,4,3,4,4,3,4,4,2,2,2,1,1,2,1,5,2,5,1,5,1,5,5,5,5,2,5,1,5,2,5,1,5,4,3,2,4,2,5,2,5,3,5,5
149,21,Male,1,3,3,3,3,3,4,5,1,5,3,5,2,4,4,2,2,1,1,1,1,4,3,3,3,2,2,4,1,4,3,1,3,4,2,5,4,3,2,2,2,1,4,1,2,4,4,1,3,4
150,2,Male,4,3,4,3,4,2,3,3,3,4,1,5,2,2,1,3,3,4,2,1,3,4,4,3,2,4,2,4,2,4,2,2,4,3,1,3,2,3,1,3,4,2,5,1,3,1,3,4,3,5
151,29,Male,3,3,3,3,4,2,2,3,5,5,4,4,3,4,4,4,4,4,4,4,4,3,2,5,2,5,3,4,5,4,2,5,2,5,2,4,4,4,4,5,2,4,3,3,5,2,3,3,4,4
152,25,Male,3,1,5,2,3,4,3,2,3,3,1,5,3,5,1,2,1,1,1,2,1,5,1,3,2,4,2,2,5,3,2,2,3,1,2,2,1,5,1,2,2,1,3,1,3,1,5,2,3,3
153,21,Female,4,4,3,2,2,2,5,2,5,5,4,2,3,1,4,2,3,3,4,4,1,5,1,5,1,4,1,4,5,3,1,5,5,3,1,3,3,4,1,3,4,1,5,2,4,1,4,4,5,4
154,17,Male,2,3,5,1,2,5,1,2,1,5,5,1,5,2,1,5,5,3,5,5,5,5,3,5,1,4,1,5,4,3,3,4,5,4,2,5,5,1,2,2,4,2,4,1,2,2,3,4,5,4
155,24,Female,4,2,4,2,4,2,1,3,5,3,5,2,5,1,2,3,4,2,3,5,4,4,1,5,1,5,2,2,5,2,3,3,5,3,4,2,5,3,3,4,1,4,3,2,3,5,4,1,5,5
156,53,Female,2,3,3,3,4,2,3,3,4,4,5,3,5,1,4,4,4,4,4,4,1,5,1,5,1,5,1,4,5,3,2,4,5,3,4,3,4,3,4,4,5,1,5,1,4,1,4,4,4,4
157,22,Female,1,3,4,3,3,4,3,5,1,5,4,4,5,2,4,2,1,3,3,3,5,3,3,3,3,5,4,3,4,2,4,5,3,3,1,4,5,4,4,4,3,4,4,2,3,1,4,1,2,3
158,21,Male,3,2,4,3,5,2,5,3,4,3,3,4,4,5,3,3,4,3,4,4,2,4,2,5,1,5,1,5,5,4,3,3,4,3,3,2,3,3,4,3,3,2,3,3,3,3,4,4,4,3
159,18,Male,4,5,5,4,4,4,4,4,3,4,1,5,1,5,2,1,1,1,1,2,5,4,4,1,5,3,3,3,2,4,4,1,4,1,4,2,4,3,4,4,4,2,3,2,4,1,5,2,4,4
160,21,Female,4,2,4,2,4,2,4,3,2,2,3,3,4,3,2,3,4,2,3,3,1,5,1,5,2,4,2,4,4,4,3,3,5,2,2,3,4,3,3,3,4,2,3,2,3,2,4,4,5,4
161,24,Female,4,3,4,3,3,2,3,3,4,5,1,2,4,4,2,2,2,1,1,1,1,5,1,5,1,5,1,5,5,4,2,3,4,2,2,3,3,2,3,3,3,2,4,1,4,1,4,3,4,4
162,2,Female,2,2,2,4,4,2,2,5,1,4,4,4,4,2,4,4,4,4,4,3,4,4,2,3,3,5,2,4,4,4,3,2,4,4,2,4,4,3,2,2,2,3,4,2,3,4,4,2,4,4
163,19,Female,2,3,3,3,4,3,4,4,2,4,3,4,4,2,3,1,3,3,1,2,1,4,2,4,2,4,4,4,4,2,4,5,5,3,1,5,2,3,2,4,4,2,5,1,4,1,4,3,4,4
164,19,Female,3,2,3,2,3,3,3,1,2,5,4,3,4,2,4,4,5,4,4,2,4,3,3,4,2,3,2,3,4,4,4,3,3,3,5,3,5,3,5,4,2,2,3,1,4,2,3,1,4,4
165,16,Female,4,1,4,1,4,1,5,2,5,2,3,4,4,3,1,2,2,4,4,2,4,2,4,2,3,1,3,3,2,4,2,4,5,2,2,4,2,2,2,4,5,1,5,1,4,1,5,5,4,5
166,34,Male,2,4,4,3,3,2,2,4,2,4,2,4,2,4,2,2,2,2,2,1,2,4,2,4,4,4,2,4,4,4,4,2,4,2,4,2,4,1,4,4,4,2,4,2,4,2,4,4,4,5
167,22,Female,5,1,5,3,5,1,4,1,5,2,4,5,3,4,3,1,2,1,2,1,1,5,1,5,1,5,1,5,5,4,4,5,4,3,5,4,3,1,4,4,5,4,5,4,4,1,5,1,3,4
168,19,Female,3,4,3,3,3,3,3,5,2,4,3,4,3,3,3,2,3,4,3,3,2,4,2,3,2,4,2,4,3,3,3,4,4,4,2,4,2,3,2,3,3,3,4,3,3,2,2,3,4,3
169,2,Male,3,1,4,4,3,3,2,4,2,4,4,3,4,3,1,3,3,2,2,2,1,2,2,4,1,4,2,4,4,4,4,2,4,2,4,1,5,3,4,4,3,3,4,2,3,2,3,4,4,3
170,15,Female,1,5,1,5,1,5,1,5,1,5,4,2,4,2,1,2,3,3,4,4,2,5,3,4,3,3,3,3,4,2,3,4,5,4,2,4,3,2,3,4,5,1,5,2,3,1,4,5,5,5
171,2,Male,3,3,4,5,3,2,2,5,5,4,2,5,5,2,2,1,1,2,2,1,5,5,3,5,2,5,1,5,4,4,3,3,5,4,3,5,4,3,2,4,4,1,5,1,4,1,5,3,5,4
172,23,Male,3,2,4,4,4,2,4,3,4,2,4,4,4,5,2,1,1,1,1,1,2,5,1,5,2,3,2,4,3,5,2,2,5,2,5,2,4,1,5,4,4,2,4,2,4,2,4,4,5,4
173,18,Female,4,3,4,3,3,2,4,2,5,5,5,2,5,4,2,2,3,2,2,4,1,5,2,5,2,4,1,4,5,4,3,2,5,2,5,2,5,3,4,4,3,2,4,1,4,1,4,1,5,5
174,37,Female,3,3,3,4,4,3,5,5,2,2,2,4,2,2,2,2,1,1,1,1,1,3,1,4,1,3,3,5,5,4,4,3,5,2,3,2,5,1,3,4,3,2,4,3,3,2,5,3,4,4
175,31,Male,4,4,4,2,4,2,4,2,4,2,4,4,4,3,4,2,2,2,3,3,2,4,2,4,4,4,2,3,4,4,2,4,4,2,3,4,3,4,4,2,2,3,4,2,4,2,4,2,4,3
176,17,Male,5,1,4,1,5,2,5,1,5,2,4,4,3,4,4,3,3,3,4,2,1,5,4,5,1,4,1,4,5,3,4,5,3,3,2,5,3,4,4,3,3,3,3,2,3,2,4,3,5,4
177,15,Female,3,1,1,4,2,2,5,1,5,2,5,1,5,1,1,5,5,4,5,4,1,3,4,5,2,4,2,4,3,3,1,5,3,5,2,5,5,3,3,3,2,5,5,1,3,1,1,1,3,4
178,19,Female,1,2,1,5,5,2,1,1,1,5,4,1,5,5,5,5,5,4,5,5,1,2,1,5,5,4,1,5,5,5,1,1,5,5,5,2,1,3,5,5,5,2,2,2,5,2,5,5,5,5
179,32,Male,3,4,2,4,3,2,1,4,4,5,3,3,4,2,4,1,4,4,3,4,2,4,2,4,2,4,2,5,4,3,3,4,4,3,2,4,4,2,2,4,4,1,4,1,4,1,3,4,4,5
180,59,Male,1,4,4,2,4,2,3,2,4,2,1,4,2,5,2,2,1,1,3,1,1,4,1,4,1,5,1,4,4,3,3,1,2,1,3,2,3,3,4,4,5,3,5,1,5,1,3,5,4,5
181,4,Male,4,3,4,3,3,1,2,3,4,5,4,5,4,4,1,1,1,1,2,1,1,2,1,5,4,4,1,5,5,5,4,1,5,1,4,1,5,1,4,5,4,1,5,3,5,1,5,1,3,5
182,15,Female,1,5,3,3,2,4,1,2,3,4,5,1,5,1,3,5,5,5,5,5,3,3,5,2,4,3,5,3,2,3,2,1,3,3,1,4,2,3,2,2,5,2,5,1,4,1,4,5,3,4
183,57,Male,4,2,5,2,5,1,5,2,4,1,3,1,4,3,4,3,3,3,3,3,1,3,3,4,2,5,2,2,4,4,4,3,4,2,4,3,4,3,3,4,3,4,3,4,3,3,3,2,4,3
184,27,Female,5,1,5,2,5,1,5,3,5,2,2,5,4,4,5,5,4,5,5,2,1,5,1,5,1,4,1,4,5,5,5,5,5,5,1,5,2,4,3,5,5,1,5,1,5,1,5,5,5,5
185,24,Female,3,3,3,3,4,2,2,3,1,5,4,4,4,1,4,2,3,3,4,5,2,4,2,4,2,4,3,4,4,3,4,5,5,4,1,1,4,2,3,5,5,1,5,1,5,1,5,5,5,5
186,21,Female,5,2,4,2,5,2,5,2,4,2,2,3,2,3,3,3,3,1,3,3,1,4,2,3,5,5,2,4,5,4,3,2,5,2,4,2,5,1,2,3,4,1,5,1,5,1,4,3,4,5
187,25,Male,3,2,4,2,4,2,2,3,4,2,3,2,5,4,2,1,2,1,2,2,1,5,2,5,1,5,1,4,5,4,4,1,3,1,2,3,3,1,4,4,3,4,5,4,4,1,5,3,5,4
188,17,Female,2,5,2,5,2,4,1,5,1,5,3,4,3,3,2,2,1,1,1,2,1,5,1,5,1,5,1,5,5,4,3,4,3,2,1,5,3,2,2,3,5,1,5,1,4,1,5,5,5,5
189,33,Male,1,5,2,3,4,1,2,1,1,5,3,2,4,2,5,5,3,1,5,4,5,5,5,5,1,5,4,4,5,5,4,5,5,1,2,3,5,1,4,5,5,1,3,1,5,5,5,1,5,5
190,53,Male,3,3,4,3,3,2,3,3,2,3,4,2,4,2,4,4,3,4,4,4,4,3,1,4,3,3,3,3,4,4,3,2,4,3,2,3,3,4,3,3,4,1,4,3,4,2,4,4,4,4
191,27,Male,1,5,1,5,2,1,1,5,3,5,4,3,5,3,1,5,5,4,5,4,4,3,4,3,2,5,2,4,3,3,1,5,2,5,1,5,3,3,2,4,5,1,5,1,5,1,5,5,5,5
192,25,Male,2,1,3,5,4,1,1,2,5,5,2,2,5,2,5,5,5,4,4,5,1,5,3,5,1,5,1,5,5,5,3,2,4,2,4,1,5,1,4,4,2,3,4,1,5,1,4,1,5,5
193,19,Female,4,1,4,1,5,1,5,2,3,2,5,2,5,1,3,5,5,5,4,5,1,5,1,5,1,5,1,5,5,5,3,5,5,5,2,4,2,4,3,5,5,1,5,1,4,1,5,5,5,5
194,26,Male,2,3,4,3,3,3,2,2,5,4,2,2,4,3,1,2,4,4,1,3,4,3,1,5,2,3,2,4,5,5,1,2,5,4,3,4,3,3,1,4,1,2,3,1,2,4,4,2,3,1
195,27,Female,4,2,4,4,4,2,5,4,5,4,3,2,3,3,3,2,2,2,2,1,2,5,1,4,3,4,3,3,5,4,4,3,4,4,3,3,4,3,3,3,3,1,5,1,4,1,4,2,2,5
196,46,Male,2,5,3,4,3,3,2,5,2,5,2,4,4,2,2,2,3,3,3,3,2,3,2,4,2,3,2,5,4,4,4,3,4,3,3,3,5,1,4,4,4,2,5,1,4,1,4,4,5,4
197,13,Male,5,1,5,1,5,2,5,1,5,4,2,5,3,5,2,3,2,2,3,2,1,5,4,4,2,5,1,5,5,5,4,3,4,3,1,3,3,4,4,4,5,1,4,3,5,1,5,5,2,5
198,23,Male,3,1,4,2,4,2,4,1,5,2,3,4,4,4,3,3,3,2,3,2,4,3,4,1,4,1,4,2,2,3,4,2,4,1,2,2,4,1,4,4,5,3,5,4,5,1,5,5,4,5
199,18,Male,5,4,2,4,1,4,2,5,2,4,1,4,1,2,1,1,3,2,5,2,4,5,5,2,5,3,5,3,1,4,4,1,5,3,1,2,4,4,1,4,5,3,5,3,5,1,5,5,4,5
200,18,Female,3,1,3,2,5,1,4,2,5,2,4,4,5,3,3,3,2,1,4,3,1,5,3,2,2,4,2,4,5,3,4,1,5,1,5,1,5,1,5,4,2,2,4,1,4,1,3,3,5,5
201,14,Male,4,2,4,3,5,2,3,4,5,5,2,5,5,4,1,2,4,2,2,2,2,5,5,4,1,1,2,4,5,5,3,4,5,4,2,3,4,3,1,5,5,1,5,2,5,1,5,5,4,5
202,15,Male,3,2,3,4,2,2,2,4,5,4,1,5,4,5,5,3,4,3,3,1,4,2,4,2,5,1,4,2,1,2,2,4,2,5,1,2,2,5,2,2,5,4,4,4,3,2,5,5,2,4
203,14,Female,5,3,4,2,5,3,3,2,5,4,4,4,4,4,2,4,4,5,4,5,2,4,4,3,1,4,1,3,4,4,3,4,3,4,2,5,2,3,3,2,1,1,4,1,4,2,4,2,4,5
204,18,Male,1,4,4,4,4,2,4,5,4,1,1,5,1,5,1,1,1,1,2,1,4,2,3,2,4,1,4,3,1,3,4,1,4,4,2,4,1,3,1,3,5,1,5,1,5,1,4,2,5,5
205,24,Female,3,2,3,3,4,3,2,4,2,5,4,3,5,2,4,4,2,3,4,3,1,4,2,5,1,5,2,4,4,4,2,5,3,3,1,5,3,2,4,3,5,2,4,1,3,2,3,4,5,4
206,19,Female,3,4,3,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,5,2,4,4,4,3,4,2,2,4,4,2,4,4,4,4,2
207,18,Female,1,5,3,3,1,2,1,5,5,5,3,1,5,5,3,5,5,5,4,4,5,3,1,5,3,5,3,4,5,4,3,1,4,1,3,1,5,3,2,5,3,4,3,3,3,2,5,2,2,3
208,33,Female,2,4,2,4,2,2,1,5,1,5,5,1,4,1,5,4,5,5,5,5,1,4,2,4,2,3,2,4,5,3,3,3,4,4,1,4,4,4,4,3,5,4,5,2,4,1,2,3,5,5
209,17,Female,3,3,3,4,1,1,1,4,2,5,5,3,5,2,5,5,4,3,3,3,1,5,1,5,1,5,1,5,5,4,4,1,4,1,4,1,3,1,4,5,4,1,5,1,4,1,4,5,5,4
210,26,Female,3,2,4,2,5,3,3,3,3,3,1,4,2,5,1,1,1,1,1,1,1,2,1,4,3,4,2,4,2,3,4,1,5,1,5,1,4,1,5,3,4,1,3,3,4,3,5,3,3,4
211,25,Female,3,2,5,2,5,1,4,2,4,3,4,4,4,2,2,2,4,3,2,4,1,5,1,5,1,5,1,4,4,4,4,4,4,3,2,4,3,2,2,5,5,1,5,1,5,1,5,5,5,5
212,16,Female,1,4,2,4,2,4,1,5,3,5,5,2,5,1,4,4,4,3,4,4,2,4,2,4,2,4,2,4,4,4,2,2,4,4,2,4,4,3,2,4,4,2,4,2,4,2,4,4,4,3
213,17,Female,1,4,1,4,1,3,1,4,4,5,5,2,5,2,2,1,3,2,4,3,4,4,5,3,3,3,3,3,4,2,2,5,4,3,2,5,4,2,3,3,4,1,4,1,4,2,4,4,5,4
214,56,Female,1,4,4,3,2,3,4,4,3,3,4,3,4,1,2,2,2,2,2,5,1,3,1,4,1,4,2,4,5,3,4,2,3,2,5,2,4,1,4,5,4,2,3,3,5,3,5,4,5,5
215,14,Female,4,3,2,4,2,2,4,4,2,5,3,2,4,3,3,3,4,3,4,3,2,4,3,4,1,3,3,3,4,5,4,3,5,2,2,3,4,3,3,4,5,1,4,1,4,4,4,4,4,4
216,21,Male,3,3,3,3,4,2,2,4,2,3,1,4,4,3,2,1,1,2,1,3,2,4,1,3,3,1,3,3,2,4,4,1,4,1,1,2,3,3,2,3,3,2,4,3,4,1,5,2,4,4
217,34,Female,5,3,5,1,5,1,4,2,2,4,4,2,4,4,1,1,2,1,4,3,5,3,1,5,2,3,1,1,4,4,4,2,5,2,3,1,5,3,5,5,2,1,5,2,4,1,5,2,4,5
218,52,Female,3,2,5,2,5,2,5,3,3,2,3,4,3,5,2,4,2,1,2,1,1,5,2,5,1,5,1,5,5,5,5,2,2,2,4,2,3,1,3,4,5,1,4,1,4,2,4,2,5,4
219,14,Male,1,2,4,2,1,2,2,5,2,5,5,5,5,5,4,4,2,2,5,1,1,3,4,1,4,2,4,4,3,4,4,4,4,1,1,5,3,2,1,3,3,4,1,4,3,5,5,3,3,2
220,14,Female,3,1,3,3,5,3,1,2,5,1,1,4,4,3,2,2,3,3,3,2,2,2,3,5,2,3,2,2,3,4,4,5,4,3,3,4,4,1,3,3,3,1,5,1,3,1,2,3,4,5
221,28,Male,3,2,4,2,4,2,3,2,3,3,4,3,4,2,3,3,4,4,4,4,3,4,3,3,2,3,2,3,3,4,4,1,4,3,2,2,4,2,2,3,5,1,5,1,4,2,4,5,4,5
222,17,Male,3,2,3,3,4,2,4,2,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,3,3,3,2,4,4,4,4,2,4,4,2,2,4,4,4,3,3,3,4,3,3,2,4,3,4,4
223,28,Female,2,3,3,4,4,3,3,4,3,4,3,3,5,3,2,1,2,2,3,2,1,4,1,5,2,4,2,4,5,4,3,4,3,2,1,3,4,2,3,3,4,3,3,2,3,3,4,4,4,3
224,21,Male,1,5,1,5,2,5,1,4,1,5,5,4,5,1,4,4,3,2,2,4,1,1,2,5,2,5,2,4,4,3,4,5,5,4,1,4,1,3,3,3,2,1,4,3,4,2,5,4,4,4
225,19,Female,5,1,5,1,5,1,5,4,5,1,2,3,3,1,2,1,4,1,3,1,1,5,4,5,1,3,1,5,5,5,3,1,4,2,4,1,3,3,4,5,3,1,5,1,5,1,5,2,5,5
226,52,Male,1,2,4,4,3,2,4,2,3,4,4,3,3,3,5,2,2,2,4,2,1,4,2,4,1,4,2,5,4,3,4,3,4,4,4,2,4,2,3,2,2,2,2,4,3,2,3,1,4,3
227,16,Female,4,1,5,1,5,1,5,4,5,1,4,4,4,1,2,2,2,3,4,1,2,5,2,4,1,4,1,4,5,4,5,3,4,1,2,3,4,2,4,4,2,3,2,4,4,3,4,2,4,5
228,25,Male,1,5,1,5,1,5,1,5,1,5,5,1,5,1,4,5,1,2,4,5,1,3,1,4,2,5,2,3,3,1,4,5,5,4,3,4,1,1,5,5,2,1,4,3,3,3,4,1,5,5
229,18,Male,1,4,4,5,3,4,1,5,1,1,4,5,5,5,4,3,1,1,3,1,5,1,2,1,4,1,5,2,1,3,5,1,5,2,1,1,5,2,5,3,3,2,5,2,3,1,4,3,4,4
230,27,Female,5,1,4,2,5,2,4,5,4,4,5,2,4,4,4,4,5,5,5,4,5,4,1,5,4,4,2,4,4,5,3,2,5,3,2,2,4,2,2,4,3,4,4,1,4,2,5,3,5,4
231,18,Female,1,3,4,3,3,2,2,5,1,5,5,2,5,3,4,3,3,2,3,1,1,3,1,5,1,4,2,5,5,5,4,2,5,1,4,1,5,3,5,5,4,2,3,3,4,2,4,3,4,3
232,38,Female,4,1,4,2,4,2,3,4,2,2,3,4,2,2,2,2,3,2,3,2,1,5,3,4,2,4,2,4,3,4,4,3,1,4,4,4,3,3,3,1,5,2,4,2,3,2,4,4,2,4
233,18,Female,3,1,5,1,5,1,5,2,5,1,3,5,2,5,2,2,2,2,1,1,1,5,1,5,1,4,1,4,4,4,4,3,4,2,4,2,4,1,5,5,4,1,5,2,5,1,5,4,4,5
234,24,Male,1,5,2,5,2,5,1,5,1,5,2,5,3,2,5,2,4,3,2,4,2,3,2,4,2,4,3,4,4,1,4,5,4,2,1,5,3,4,2,3,5,2,4,1,4,2,5,4,4,3
235,16,Female,1,1,5,3,5,1,1,4,1,2,5,3,5,1,5,5,2,3,5,4,5,4,1,5,1,5,1,1,5,3,5,5,3,3,3,5,4,2,2,5,3,3,4,5,3,1,3,1,3,3
236,21,Female,4,3,4,3,3,2,4,3,2,3,4,3,4,3,3,3,3,3,3,3,4,4,3,4,2,4,2,4,4,3,4,2,4,2,3,2,5,2,4,3,3,3,3,2,3,3,3,3,3,3
237,31,Male,4,1,3,2,5,1,5,2,5,3,2,4,5,2,3,4,2,2,4,3,1,4,2,3,1,4,1,3,4,4,3,2,5,3,3,2,4,1,4,4,4,2,5,1,4,1,5,4,5,5
238,15,Female,2,5,2,5,3,4,2,3,3,5,4,2,4,1,4,5,4,4,4,4,2,3,4,4,2,4,3,3,4,2,3,4,4,4,2,4,3,4,4,3,5,3,5,3,4,1,3,4,4,4
239,38,Female,4,2,2,2,3,2,4,3,3,3,3,3,4,3,4,4,3,3,3,2,2,4,3,4,2,4,2,4,4,3,3,2,3,2,4,2,4,2,4,3,3,3,4,3,3,2,3,2,3,3
240,24,Male,3,3,4,2,4,2,4,3,3,2,2,4,4,3,4,2,2,2,2,3,4,4,2,4,2,3,2,3,4,4,3,4,4,2,2,4,4,2,4,4,4,4,2,4,3,4,4,3,4,2
241,25,Female,4,2,4,2,4,2,4,2,4,3,3,4,2,4,2,2,2,2,2,2,2,4,4,4,2,4,2,2,4,4,4,3,4,2,4,2,3,1,4,4,4,2,3,4,4,2,4,2,4,4
242,22,Male,2,3,3,3,3,2,2,4,3,4,1,5,2,5,1,1,1,1,3,1,2,3,1,4,2,3,4,4,4,4,4,4,4,2,1,4,4,1,3,4,5,2,3,3,5,2,5,5,4,4
243,57,Female,2,3,4,4,4,2,2,1,1,4,5,2,5,1,2,5,2,2,4,4,1,4,1,4,1,4,1,4,4,4,2,1,5,4,4,3,4,1,4,5,4,2,5,2,2,2,5,4,4,3
244,37,Female,1,4,2,4,1,4,1,3,3,5,4,2,5,2,4,4,3,3,4,4,1,3,3,4,2,4,3,4,4,3,4,2,5,2,4,3,4,2,4,4,4,2,5,2,4,1,3,3,4,4
245,2,Female,3,4,3,3,3,2,1,3,3,4,3,3,4,2,2,3,3,2,3,2,3,3,2,3,3,3,2,3,3,4,3,1,4,2,2,3,4,3,3,3,3,2,4,3,4,1,4,3,3,4
246,23,Male,4,1,5,1,5,1,5,2,5,2,2,3,4,3,3,2,3,2,2,2,4,5,2,5,1,4,1,4,4,4,3,3,4,2,4,2,3,2,4,3,3,2,4,2,4,1,3,3,4,5
247,3,Male,1,5,2,4,2,4,1,5,2,5,2,5,3,3,4,2,2,2,2,3,2,2,3,4,2,3,3,3,2,3,3,2,4,2,3,2,4,3,2,4,1,3,2,2,3,3,3,2,4,2
248,18,Female,2,5,3,4,2,2,1,5,1,5,1,4,2,3,2,2,2,2,2,2,1,4,2,5,2,5,2,4,4,4,3,3,5,4,1,5,1,3,2,3,5,2,5,3,3,1,4,4,4,4
249,2,Male,2,5,1,4,3,4,2,2,4,4,3,3,4,3,3,2,3,2,5,2,3,2,3,3,2,5,4,4,3,5,4,1,5,1,4,4,5,3,4,3,2,1,5,1,2,1,5,1,2,2
250,27,Male,1,5,1,5,1,5,2,5,3,5,5,1,5,2,5,5,5,5,2,4,5,1,1,5,5,5,5,5,5,2,1,5,5,5,2,2,4,5,2,2,2,5,5,2,1,2,2,1,3,1
251,21,Female,4,4,4,4,4,4,1,1,5,5,5,4,5,5,4,5,4,4,4,5,5,5,4,5,2,2,4,5,5,3,4,1,5,3,4,1,5,5,2,4,2,5,4,5,4,4,4,1,5,2
252,21,Male,5,5,5,4,1,5,2,2,1,5,5,1,5,2,4,1,5,1,5,5,5,5,1,3,3,2,2,1,4,5,1,1,4,1,5,1,5,1,5,5,1,5,5,3,2,1,3,1,5,1
253,27,Male,1,3,3,3,3,3,5,1,3,5,1,5,3,3,5,1,1,1,1,2,3,3,1,5,3,3,3,5,5,5,3,1,5,3,3,1,3,1,1,3,5,3,5,3,5,1,5,1,5,5
254,26,Male,1,5,2,5,4,5,2,5,5,5,4,5,5,3,1,3,5,5,5,3,3,5,4,4,2,3,3,4,4,4,4,1,5,5,1,5,5,4,1,5,5,1,5,1,5,4,5,5,5,5
255,16,Female,3,5,5,3,5,3,5,1,1,5,5,4,5,3,1,5,5,5,5,3,5,5,1,5,1,5,4,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,5,5,5,1,5,5,4,5
256,44,Male,2,2,3,2,1,1,1,2,5,5,2,4,1,4,4,4,4,4,4,2,2,4,2,3,4,3,4,4,3,2,5,4,5,2,2,2,2,1,3,5,3,1,4,1,5,1,5,4,5,5
